Rk,Name,Age,Tm,IP,PAu,G,PA,AB,R,H,2B,3B,HR,SB,CS,BB,SO,BA,OBP,SLG,OPS,BAbip,TB,GDP,HBP,SH,SF,IBB,ROE
1,Jim Abbott*,26,NYY,160.1,,24,692,612,88,167,36,2,24,13,7,64,90,0.273,0.341,0.456,0.797,0.284,279,19,2,9,5,1,8
2,Mark Acre,25,OAK,34.1,1,34,147,119,13,24,6,1,4,1,3,23,21,0.202,0.333,0.37,0.703,0.211,44,3,1,3,1,3,2
3,Rick Aguilera,32,MIN,44.2,,44,201,186,23,57,5,0,7,3,0,10,46,0.306,0.34,0.446,0.786,0.373,83,1,0,4,1,3,3
4,Wilson Álvarez*,24,CHW,161.2,,24,682,611,72,147,21,0,16,3,4,62,108,0.241,0.309,0.354,0.663,0.267,216,13,0,6,3,1,9
5,Larry Andersen,41,PHI,32.2,,29,147,129,20,33,7,1,2,4,0,15,27,0.256,0.333,0.372,0.705,0.31,48,3,0,3,0,3,5
6,Brian Anderson*,22,CAL,101.2,,18,441,400,63,120,36,0,13,4,5,27,47,0.3,0.347,0.488,0.835,0.309,195,10,5,3,6,0,2
7,Kevin Appier,26,KCR,155,,23,653,570,68,137,22,6,11,14,6,63,145,0.24,0.317,0.358,0.675,0.299,204,10,4,9,7,7,8
8,Luis Aquino,30,FLA,50.2,,29,214,186,22,39,8,2,3,4,0,22,22,0.21,0.3,0.323,0.623,0.221,60,1,3,1,2,4,3
9,Jack Armstrong,29,TEX,10,,2,41,39,4,9,2,0,3,0,0,2,7,0.231,0.268,0.513,0.781,0.207,20,0,0,0,0,0,0
10,René Arocha,30,STL,83,,45,360,328,42,94,23,3,9,5,5,21,62,0.287,0.336,0.457,0.793,0.329,150,4,4,5,1,4,2
11,Andy Ashby,26,SDP,164.1,,24,682,622,75,145,29,4,16,27,2,43,121,0.233,0.285,0.37,0.654,0.264,230,11,3,11,3,12,12
12,Paul Assenmacher*,33,CHW,33,,44,134,116,13,26,5,0,2,3,0,13,29,0.224,0.301,0.319,0.62,0.273,37,4,1,1,3,2,2
13,Pedro Astacio,25,LAD,149,,23,625,563,77,142,30,4,18,8,5,47,108,0.252,0.312,0.416,0.727,0.281,234,14,4,6,5,4,8
14,Joe Ausanio,28,NYY,15.2,,13,69,63,9,16,1,0,3,2,0,6,15,0.254,0.319,0.413,0.732,0.289,26,0,0,0,0,0,0
15,Steve Avery*,24,ATL,151.2,,24,628,559,71,127,34,0,15,14,3,55,122,0.227,0.298,0.369,0.667,0.262,206,8,4,4,6,4,1
16,Bobby Ayala,24,SEA,56.2,1,46,236,207,25,42,7,0,2,2,0,26,76,0.203,0.289,0.266,0.555,0.305,55,4,0,1,2,0,4
17,Cory Bailey,23,BOS,4.1,,5,24,21,6,10,2,0,2,0,0,3,4,0.476,0.542,0.857,1.399,0.533,18,2,0,0,0,1,0
18,Jeff Ballard*,30,PIT,24.1,,28,112,99,19,32,7,2,5,1,0,10,11,0.323,0.387,0.586,0.973,0.321,58,3,1,1,1,3,0
19,Scott Bankhead,30,BOS,37.2,,27,156,142,21,34,4,1,5,4,1,12,25,0.239,0.295,0.387,0.682,0.254,55,2,0,0,2,3,1
20,Willie Banks,25,CHC,138.1,,23,598,533,88,139,21,4,16,6,7,56,91,0.261,0.332,0.405,0.737,0.287,216,15,2,5,2,3,8
21,Brian Barnes*,27,TOT,18.1,,11,96,76,14,22,3,1,3,2,0,19,10,0.289,0.427,0.474,0.901,0.297,36,0,0,0,1,3,1
22,Brian Barnes*,27,CLE,13.1,,6,67,51,10,12,0,0,2,2,0,15,5,0.235,0.403,0.353,0.756,0.222,18,0,0,0,1,2,0
23,Brian Barnes*,27,LAD,5,,5,29,25,4,10,3,1,1,0,0,4,5,0.4,0.483,0.72,1.203,0.474,18,0,0,0,0,1,1
24,José Bautista,29,CHC,69.1,,58,293,264,30,75,7,1,10,6,3,17,45,0.284,0.33,0.432,0.762,0.305,114,6,3,5,4,7,0
25,Rod Beck,25,SFG,48.2,,48,207,188,17,49,6,1,10,2,1,13,39,0.261,0.304,0.463,0.767,0.275,87,0,0,3,3,2,1
26,Steve Bedrosian,36,ATL,46,,46,196,169,20,41,10,0,4,8,1,18,43,0.243,0.319,0.373,0.692,0.298,63,4,2,5,2,5,3
27,Tim Belcher,32,DET,162,,25,750,662,124,192,40,7,21,17,5,78,76,0.29,0.367,0.467,0.834,0.301,309,12,4,3,3,10,12
28,Stan Belinda,27,KCR,49,,37,220,188,36,47,14,2,6,4,1,24,37,0.25,0.345,0.441,0.787,0.277,83,3,5,0,3,3,5
29,Andy Benes,26,SDP,172.1,,25,717,653,82,155,35,6,20,12,9,51,189,0.237,0.293,0.401,0.694,0.303,262,7,1,11,1,2,12
30,Armando Benítez,21,BAL,10,,3,42,37,1,8,1,0,0,0,1,4,14,0.216,0.31,0.243,0.553,0.348,9,0,1,0,0,0,0
31,Jason Bere,23,CHW,141.2,,24,608,519,65,119,22,1,17,25,7,80,127,0.229,0.331,0.374,0.705,0.269,194,13,1,4,4,0,4
32,Sean Bergman,24,DET,17.2,,3,82,73,11,22,5,0,2,1,1,7,12,0.301,0.366,0.452,0.818,0.333,33,0,1,0,1,0,0
33,Mike Bielecki,34,ATL,27,,19,115,101,12,28,2,1,2,6,3,12,18,0.277,0.36,0.376,0.736,0.321,38,3,1,1,0,1,0
34,Bud Black*,37,SFG,54.1,,10,227,204,31,50,14,1,9,4,3,16,28,0.245,0.307,0.456,0.763,0.243,93,2,3,2,2,1,3
35,Willie Blair,28,COL,77.2,,47,365,318,57,98,16,5,9,3,5,39,68,0.308,0.39,0.475,0.864,0.368,151,8,4,3,1,3,7
36,Joe Boever,33,DET,81.1,,46,349,304,40,80,10,1,12,13,4,37,49,0.263,0.345,0.421,0.766,0.278,128,8,2,4,2,12,1
37,Brian Bohanon*,25,TEX,37.1,,11,169,159,31,51,9,0,7,3,0,8,26,0.321,0.357,0.509,0.867,0.349,81,2,1,1,0,1,1
38,Tom Bolton*,32,BAL,23.1,,22,109,94,15,29,8,0,3,5,1,13,12,0.309,0.389,0.489,0.878,0.325,46,3,0,1,1,1,1
39,Ricky Bones,25,MIL,170.2,,24,708,651,76,166,37,5,17,4,5,45,57,0.255,0.304,0.406,0.71,0.256,264,17,3,4,5,1,12
40,Toby Borland,25,PHI,34.1,,24,144,125,10,31,3,1,1,1,1,14,26,0.248,0.343,0.312,0.655,0.306,39,5,4,1,0,3,0
41,Chris Bosio,31,SEA,125,,19,546,495,72,137,31,2,15,6,4,40,67,0.277,0.33,0.438,0.768,0.291,217,10,2,3,6,3,8
42,Shawn Boskie,27,TOT,90.2,,22,394,355,58,92,18,0,15,5,3,30,61,0.259,0.32,0.437,0.756,0.273,155,4,3,2,3,3,8
43,Shawn Boskie,27,TOT,88,,20,381,343,56,88,17,0,14,5,3,29,61,0.257,0.317,0.429,0.746,0.273,147,3,3,2,3,2,7
44,Shawn Boskie,27,CHC,3.2,,2,14,14,0,3,2,0,0,0,0,0,2,0.214,0.214,0.357,0.571,0.25,5,0,0,0,0,0,0
45,Shawn Boskie,27,PHI,84.1,,18,367,329,56,85,15,0,14,5,3,29,59,0.258,0.321,0.432,0.753,0.274,142,3,3,2,3,2,7
46,Shawn Boskie,27,SEA,2.2,,2,13,12,2,4,1,0,1,0,0,1,0,0.333,0.385,0.667,1.051,0.273,8,1,0,0,0,1,1
47,Ricky Bottalico,24,PHI,3,,3,13,12,0,3,0,0,0,0,0,1,3,0.25,0.308,0.25,0.558,0.333,3,0,0,0,0,0,0
48,Kent Bottenfield,25,TOT,26.1,,16,121,108,18,33,6,4,2,1,0,10,15,0.306,0.375,0.491,0.866,0.341,53,3,2,1,0,0,0
49,Kent Bottenfield,25,COL,24.2,,15,112,99,16,28,4,4,1,1,0,10,15,0.283,0.36,0.434,0.795,0.325,43,2,2,1,0,0,0
50,Kent Bottenfield,25,SFG,1.2,,1,9,9,2,5,2,0,1,0,0,0,0,0.556,0.556,1.111,1.667,0.5,10,1,0,0,0,0,0
51,Denis Boucher*,26,MON,18.2,,10,84,74,16,24,3,1,6,0,2,7,17,0.324,0.378,0.635,1.013,0.346,47,2,0,2,1,0,1
52,Ryan Bowen,26,FLA,47.1,,8,208,183,28,50,10,1,9,3,3,19,32,0.273,0.345,0.486,0.831,0.285,89,5,2,2,2,0,2
53,Jeff Brantley,30,CIN,65.1,,50,262,228,20,46,6,1,6,3,2,28,63,0.202,0.288,0.316,0.604,0.25,72,3,0,5,1,5,0
54,Billy Brewer*,26,KCR,38.2,,50,157,135,11,28,4,2,4,2,2,16,25,0.207,0.297,0.356,0.652,0.222,48,4,2,2,2,1,1
55,Brad Brink,29,SFG,8.1,,4,32,28,1,4,2,0,1,0,0,4,3,0.143,0.25,0.321,0.571,0.125,9,1,0,0,0,1,0
56,John Briscoe,26,OAK,49.1,,37,210,168,24,31,4,0,7,1,1,39,45,0.185,0.34,0.333,0.673,0.205,56,6,1,1,1,2,3
57,Doug Brocail,27,SDP,17,,12,78,69,13,21,5,3,1,1,0,5,11,0.304,0.364,0.507,0.871,0.345,35,2,2,1,1,3,2
58,Jeff Bronkey,28,MIL,20.2,,16,93,81,10,20,4,0,3,4,0,12,13,0.247,0.344,0.407,0.751,0.262,33,2,0,0,0,4,1
59,Scott Brow,25,TOR,29,,18,141,118,27,34,4,0,4,3,2,19,15,0.288,0.386,0.424,0.809,0.297,50,7,1,1,2,2,6
60,Kevin Brown,29,TEX,170,,26,760,695,109,218,30,7,18,7,9,50,123,0.314,0.361,0.455,0.816,0.357,316,23,6,2,7,3,14
61,Tom Browning*,34,CIN,40.2,,7,169,153,20,34,2,0,8,2,1,13,22,0.222,0.284,0.392,0.676,0.208,60,2,1,0,2,1,3
62,Duff Brumley,23,TEX,3.1,,2,22,15,6,6,2,0,1,0,0,5,4,0.4,0.5,0.733,1.233,0.417,11,0,0,0,2,0,1
63,Gary Buckels,28,STL,12,,10,51,43,5,8,3,0,2,1,0,7,9,0.186,0.3,0.395,0.695,0.188,17,1,0,1,0,1,2
64,Jim Bullinger,28,CHC,100,,33,412,371,43,87,17,4,6,11,5,34,72,0.235,0.298,0.35,0.649,0.274,130,6,1,3,3,2,4
65,Dave Burba,27,SFG,74,,57,322,267,39,59,16,2,5,5,4,45,84,0.221,0.345,0.352,0.697,0.302,94,5,6,3,1,3,1
66,John Burkett,29,SFG,159.1,2,25,676,616,72,176,39,0,14,13,6,36,85,0.286,0.33,0.417,0.747,0.31,257,13,7,12,5,7,5
67,Terry Burrows*,25,TEX,1,,1,5,4,1,1,0,0,1,0,0,1,0,0.25,0.4,1,1.4,0,4,0,0,0,0,0,0
68,Mike Butcher,29,CAL,29.2,,33,140,113,24,31,7,1,2,3,1,23,19,0.274,0.406,0.407,0.813,0.315,46,5,2,2,0,5,3
69,Greg Cadaret*,32,TOT,40,,38,191,158,24,41,7,0,4,7,2,33,29,0.259,0.387,0.38,0.767,0.296,60,3,0,0,0,5,3
70,Greg Cadaret*,32,TOR,20,,21,100,83,15,24,1,0,4,2,1,17,15,0.289,0.41,0.446,0.856,0.313,37,2,0,0,0,2,1
71,Greg Cadaret*,32,DET,20,,17,91,75,9,17,6,0,0,5,1,16,14,0.227,0.363,0.307,0.669,0.279,23,1,0,0,0,3,2
72,Kevin Campbell,29,MIN,24.2,,14,97,86,8,20,5,0,2,1,1,5,15,0.233,0.274,0.36,0.634,0.25,31,1,1,2,3,0,1
73,Mike Campbell,30,SDP,8.1,,3,43,37,12,13,2,0,5,3,0,5,10,0.351,0.429,0.811,1.239,0.364,30,0,0,1,0,0,0
74,Tom Candiotti,37,LAD,153,,23,652,576,77,149,31,5,9,16,5,54,102,0.259,0.323,0.377,0.7,0.296,217,12,5,9,8,2,6
75,Cris Carpenter,29,TEX,59,,47,263,237,35,69,10,1,7,2,3,20,39,0.291,0.342,0.43,0.773,0.32,102,4,0,3,3,7,6
76,Héctor Carrasco,24,CIN,56.1,,45,237,200,17,42,4,1,3,3,1,30,41,0.21,0.319,0.285,0.604,0.25,57,7,2,5,0,1,2
77,Andy Carter*,25,PHI,34.1,,20,149,127,18,34,9,0,5,4,0,12,18,0.268,0.351,0.457,0.808,0.271,58,5,6,1,3,2,0
78,Larry Casian*,28,TOT,49,,40,231,204,43,73,12,2,12,0,2,16,20,0.358,0.406,0.613,1.019,0.351,125,3,2,7,2,3,1
79,Larry Casian*,28,MIN,40.2,,33,188,166,34,57,12,2,11,0,2,12,18,0.343,0.39,0.639,1.029,0.331,106,2,2,6,2,2,1
80,Larry Casian*,28,CLE,8.1,,7,43,38,9,16,0,0,1,0,0,4,2,0.421,0.476,0.5,0.976,0.429,19,1,0,1,0,1,0
81,Frank Castillo,25,CHC,23,,4,96,90,13,25,3,1,3,4,0,5,19,0.278,0.316,0.433,0.749,0.324,39,4,0,1,0,0,2
82,Juan Castillo,24,NYM,11.2,,2,54,47,9,17,3,2,2,2,1,5,1,0.362,0.423,0.638,1.061,0.341,30,2,0,2,0,0,0
83,Tony Castillo*,31,TOR,68,,41,291,254,22,66,9,1,7,6,2,28,43,0.26,0.337,0.386,0.723,0.285,98,7,3,3,3,1,0
84,Frank Cimorelli,25,STL,13.1,,11,73,58,14,20,8,1,0,1,0,10,1,0.345,0.444,0.517,0.962,0.339,30,1,2,1,2,2,3
85,Mark Clark,26,CLE,127.1,,20,540,487,61,133,20,3,14,5,6,40,60,0.273,0.329,0.413,0.742,0.283,201,15,4,2,7,0,8
86,Roger Clemens,31,BOS,170.2,,24,692,609,62,124,25,2,15,14,13,71,168,0.204,0.289,0.325,0.614,0.253,198,12,4,2,5,1,7
87,David Cone,31,KCR,171.2,,23,690,623,60,130,28,2,15,9,4,54,132,0.209,0.277,0.332,0.609,0.239,207,11,7,1,5,0,5
88,Jim Converse,22,SEA,48.2,,13,253,207,49,73,12,6,5,3,4,40,39,0.353,0.454,0.541,0.995,0.41,112,3,1,2,3,4,1
89,Dennis Cook*,31,CHW,33,,38,143,126,17,29,4,0,4,1,1,14,26,0.23,0.307,0.357,0.664,0.26,45,2,0,3,0,3,5
90,Steve Cooke*,24,PIT,134.1,,25,590,527,79,157,29,4,21,14,3,46,74,0.298,0.358,0.488,0.846,0.313,257,17,5,9,3,7,7
91,Rheal Cormier*,27,STL,39.2,,7,169,156,24,40,10,2,6,1,1,7,26,0.256,0.298,0.462,0.759,0.27,72,3,3,1,2,0,3
92,Brad Cornett,25,TOR,31,,9,141,121,25,40,10,3,1,1,2,11,22,0.331,0.394,0.488,0.882,0.39,59,3,3,4,2,2,2
93,Danny Cox,34,TOR,18.2,,10,72,62,3,7,1,0,0,3,1,7,14,0.113,0.211,0.129,0.34,0.143,8,0,1,1,1,1,2
94,Chuck Crim,32,CHC,64.1,,49,283,254,36,69,9,1,9,8,1,24,43,0.272,0.337,0.421,0.758,0.297,107,4,1,3,0,6,3
95,John Cummings*,25,SEA,64,,17,285,244,43,66,10,0,7,3,2,37,33,0.27,0.363,0.398,0.76,0.285,97,8,0,1,3,2,2
96,Jim Czajkowski,30,COL,8.2,,5,42,32,4,9,1,0,2,0,0,6,2,0.281,0.439,0.5,0.939,0.25,16,1,3,1,0,1,0
97,Omar Daal*,22,LAD,13.2,,24,55,49,5,12,3,0,1,1,0,5,9,0.245,0.315,0.367,0.682,0.282,18,4,0,1,0,0,0
98,Ron Darling,33,OAK,160,5,25,682,606,89,162,28,3,18,7,6,59,108,0.267,0.337,0.413,0.749,0.297,250,21,7,5,5,3,7
99,Danny Darwin,38,BOS,75.2,,13,350,319,54,101,22,2,13,6,0,24,54,0.317,0.361,0.52,0.881,0.342,166,3,1,1,5,6,2
100,Jeff Darwin,24,SEA,4,,2,22,18,6,7,1,0,1,0,0,3,1,0.389,0.5,0.611,1.111,0.375,11,0,1,0,0,1,0
101,Mark Davis*,33,SDP,16.1,,20,81,67,18,20,2,0,4,2,0,13,15,0.299,0.413,0.507,0.92,0.333,34,1,0,1,0,1,1
