Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos
1,Matt Williams,28,SFG,NL,4.7,112,483,445,74,119,16,3,43,96,1,0,33,87,0.267,0.319,0.607,0.926,141,0.402,146,270,11,2,0,3,7,*5/H
2,Ken Griffey Jr.*,24,SEA,AL,6.9,111,493,433,94,140,24,4,40,90,11,3,56,73,0.323,0.402,0.674,1.076,171,0.453,170,292,9,2,0,2,19,*8/D9
3,Jeff Bagwell,26,HOU,NL,8.2,110,479,400,104,147,32,2,39,116,15,4,65,65,0.368,0.451,0.75,1.201,213,0.51,222,300,12,4,0,10,14,*3/H9
4,Frank Thomas,26,CHW,AL,6.4,113,517,399,106,141,34,1,38,101,2,3,109,61,0.353,0.487,0.729,1.217,212,0.504,209,291,15,2,0,7,12,*3D/H
5,Barry Bonds*,29,SFG,NL,6.2,112,474,391,89,122,18,1,37,81,29,9,74,43,0.312,0.426,0.647,1.073,183,0.458,185,253,3,6,0,3,18,*7/H
6,Albert Belle,27,CLE,AL,5.7,106,480,412,90,147,35,2,36,101,9,6,58,71,0.357,0.438,0.714,1.152,194,0.486,197,294,5,5,1,4,9,*7/D
7,Fred McGriff*,30,ATL,NL,4.6,113,478,424,81,135,25,1,34,94,7,3,50,76,0.318,0.389,0.623,1.012,157,0.429,157,264,8,1,0,3,8,*3/H
8,José Canseco,29,TEX,AL,3,111,505,429,88,121,19,2,31,90,15,8,69,114,0.282,0.386,0.552,0.939,140,0.408,141,237,20,5,0,2,8,*D
9,Andrés Galarraga,33,COL,NL,2,103,449,417,77,133,21,0,31,85,8,3,19,93,0.319,0.356,0.592,0.949,127,0.416,134,247,10,8,0,5,8,*3
10,Kevin Mitchell,32,CIN,NL,3.7,95,380,310,57,101,18,1,30,77,2,0,59,62,0.326,0.429,0.681,1.11,185,0.461,185,211,12,3,0,8,15,*7/H3
11,Cecil Fielder,30,DET,AL,1.9,109,481,425,67,110,16,2,28,90,0,0,50,110,0.259,0.337,0.504,0.84,114,0.371,113,214,17,2,0,4,4,*3/D
12,Dante Bichette,30,COL,NL,1,116,509,484,74,147,33,2,27,95,21,8,19,70,0.304,0.334,0.548,0.882,111,0.388,114,265,17,4,0,2,3,*9/H
13,Joe Carter,34,TOR,AL,0.7,111,483,435,70,118,25,2,27,103,11,0,33,64,0.271,0.317,0.524,0.841,113,0.365,106,228,6,2,0,13,6,*9/DH
14,Gary Sheffield,25,FLA,NL,2.1,87,384,322,61,89,16,1,27,78,12,6,51,50,0.276,0.38,0.584,0.964,145,0.408,143,188,10,6,0,5,11,*9/H
15,Chili Davis#,34,CAL,AL,3.1,108,468,392,72,122,18,1,26,84,3,2,69,84,0.311,0.41,0.561,0.971,148,0.415,145,220,12,1,0,6,11,*D/7
16,Mo Vaughn*,26,BOS,AL,2.7,111,463,394,65,122,25,1,26,82,4,4,57,112,0.31,0.408,0.576,0.984,147,0.417,144,227,7,10,0,2,20,*3/HD
17,Sammy Sosa,25,CHC,NL,3.8,105,458,426,59,128,17,6,25,70,22,13,25,92,0.3,0.339,0.545,0.884,127,0.386,131,232,7,2,1,4,1,*98
18,Bob Hamelin*,26,KCR,AL,2.6,101,375,312,64,88,25,1,24,65,4,3,56,62,0.282,0.388,0.599,0.987,147,0.419,144,187,4,1,0,5,3,D3H
19,Mike Piazza,25,LAD,NL,3.6,107,441,405,64,129,18,0,24,92,1,3,33,65,0.319,0.37,0.541,0.91,140,0.39,140,219,11,1,0,2,10,*2/H
20,Kirk Gibson*,37,DET,AL,1.8,98,382,330,71,91,17,2,23,72,4,5,42,69,0.276,0.358,0.548,0.906,130,0.387,128,181,2,3,2,5,3,D89H
21,Rafael Palmeiro*,29,BAL,AL,4,111,498,436,82,139,32,0,23,76,7,3,54,63,0.319,0.392,0.55,0.942,136,0.408,134,240,11,2,0,6,1,*3
